"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W09";"CH012";"Y25T29";"M";"P";1
"2022-W09";"CH012";"Y40T44";"T";"P";2
"2022-W09";"CH012";"Y40T44";"M";"P";2
"2022-W09";"CH012";"Y55T59";"T";"P";1
"2022-W09";"CH012";"Y55T59";"F";"P";1
"2022-W09";"CH012";"Y60T64";"T";"P";2
"2022-W09";"CH012";"Y60T64";"F";"P";2
"2022-W09";"CH012";"Y65T69";"T";"P";5
"2022-W09";"CH012";"Y65T69";"F";"P";1
"2022-W09";"CH012";"Y65T69";"M";"P";4
"2022-W09";"CH012";"Y70T74";"T";"P";6
"2022-W09";"CH012";"Y70T74";"F";"P";2
"2022-W09";"CH012";"Y70T74";"M";"P";4
"2022-W09";"CH012";"Y75T79";"T";"P";9
"2022-W09";"CH012";"Y75T79";"F";"P";3
"2022-W09";"CH012";"Y75T79";"M";"P";6
"2022-W09";"CH012";"Y80T84";"T";"P";13
"2022-W09";"CH012";"Y80T84";"F";"P";8
"2022-W09";"CH012";"Y80T84";"M";"P";5
"2022-W09";"CH012";"Y85T89";"T";"P";8
"2022-W09";"CH012";"Y85T89";"F";"P";6
"2022-W09";"CH012";"Y85T89";"M";"P";2
"2022-W09";"CH012";"Y_GE90";"T";"P";16
"2022-W09";"CH012";"Y_GE90";"F";"P";11
"2022-W09";"CH012";"Y_GE90";"M";"P";5
"2022-W09";"CH013";"_T";"T";"P";65
"2022-W09";"CH013";"_T";"F";"P";36
"2022-W09";"CH013";"_T";"M";"P";29
"2022-W09";"CH013";"Y35T39";"T";"P";1
"2022-W09";"CH013";"Y35T39";"F";"P";1
"2022-W09";"CH013";"Y45T49";"T";"P";2
"2022-W09";"CH013";"Y45T49";"M";"P";2
"2022-W09";"CH013";"Y50T54";"T";"P";2
"2022-W09";"CH013";"Y50T54";"F";"P";1
"2022-W09";"CH013";"Y50T54";"M";"P";1
"2022-W09";"CH013";"Y60T64";"T";"P";4
"2022-W09";"CH013";"Y60T64";"F";"P";2
"2022-W09";"CH013";"Y60T64";"M";"P";2
"2022-W09";"CH013";"Y65T69";"T";"P";6
"2022-W09";"CH013";"Y65T69";"F";"P";3
